시간,단계,원본텍스트,전처리텍스트,인식성공,AI응답
2026-04-17 13:56:33,restaurant,,,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-14 17:30:40,restaurant,김치찌개,김치찌개,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-14 17:45:41,restaurant,김치찌개,김치찌개,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-14 17:47:21,restaurant,김치찌개,김치찌개,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-14 17:48:04,restaurant,된장찌개,된장찌개,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-14 17:48:14,restaurant,김치찌개,김치찌개,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-14 18:18:29,restaurant,김치찌개,김치찌개,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-14 18:19:58,restaurant,CKPENGUANG,CKPENGUANG,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-14 18:20:22,restaurant,팝,팝,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-14 18:20:42,restaurant,공기밥,공기밥밥,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-14 18:21:10,restaurant,바삭한 거,바삭한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:26:42,restaurant,따뜻한 거,따뜻한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:27:14,restaurant,김치찌개,김치찌개,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:27:23,restaurant,된장찌개,된장찌개,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:27:43,restaurant,시원한 거,시원한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:28:48,restaurant,매운거,매운거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:29:01,restaurant,국물 있는 거,국물 있는 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:33:47,restaurant,따뜻한 거,따뜻한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:44:29,restaurant,따뜻한 거,따뜻한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:51:24,restaurant,따뜻한 거,따뜻한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:56:00,restaurant,그냥 똑같은데 따뜻한 거,똑같은데 따뜻한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:57:42,restaurant,따뜻한 거,따뜻한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 02:57:59,restaurant,따뜻한 거,따뜻한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 03:02:45,restaurant,따뜻한 거,따뜻한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 03:03:45,restaurant,따뜻한 거,따뜻한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
2026-05-15 03:09:32,restaurant,따뜻한 거,따뜻한 거,실패,"죄송합니다. 다시 말씀해주세요. 한마루, 스시로, 만다린 중에서 선택해주세요."
